,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
211,1.758,-41.134586,128.97876,21.327503,-21.044922,101.530525,35.261856,2.328513,83.927628,55.443245,2.548172,84.873787,24.282719,-62.369682,156.65831,27.116457,-38.000122,113.607849,54.327602,-36.900063,120.827187,-6.926999,-64.540329,160.931549,59.148441,-63.818707,161.848801,-7.717782,-6.793588,78.047363,-4.464717
212,1.766,-40.837582,128.044815,21.279541,-20.585882,100.70797,35.264408,2.913825,83.027267,55.50753,3.243291,84.380737,24.297672,-62.331425,155.478317,27.099186,-37.503525,112.739098,54.425758,-36.447723,120.063461,-6.926633,-64.516808,159.763336,59.1138,-63.817196,160.737335,-7.651194,-6.081106,77.429672,-4.526383
213,1.774,-40.525608,127.129837,21.265142,-20.090488,99.864212,35.256683,3.504182,82.084152,55.573933,3.96478,83.88147,24.320547,-62.31115,154.284897,27.077717,-36.971676,111.879173,54.524677,-36.025589,119.269691,-6.942037,-64.481926,158.574905,59.095776,-63.829201,159.601959,-7.625029,-5.413266,76.797081,-4.602863
214,1.783,-40.196445,126.085922,21.254747,-19.531191,98.935204,35.255909,4.17759,80.980057,55.61076,4.754098,83.337021,24.320082,-62.251377,152.930389,27.073013,-36.341961,110.917854,54.583447,-35.592728,118.33062,-6.97317,-64.420929,157.241425,59.079624,-63.85601,158.315018,-7.589503,-4.701646,76.086929,-4.688547
215,1.791,-39.884579,125.157372,21.244183,-19.041119,98.117104,35.237713,4.745127,79.975304,55.637405,5.440975,82.867653,24.387506,-62.2001,151.712753,27.073595,-35.760262,110.074699,54.650085,-35.224606,117.486229,-7.028193,-64.388229,156.046097,59.052116,-63.873047,157.170074,-7.543544,-4.07673,75.439163,-4.781724
216,1.8,-39.532085,124.085808,21.233143,-18.481073,97.16803,35.204636,5.422768,78.792488,55.644077,6.188307,82.312576,24.419958,-62.170826,150.321777,27.107452,-35.112526,109.10891,54.712486,-34.803997,116.487679,-7.131893,-64.342003,154.682343,59.040863,-63.879383,155.842224,-7.503316,-3.346766,74.686584,-4.868345
217,1.808,-39.205589,123.096725,21.218895,-17.970518,96.332863,35.180969,6.01271,77.7248,55.621357,6.868316,81.79351,24.474369,-62.125278,149.068207,27.134579,-34.510876,108.23864,54.736382,-34.445362,115.598534,-7.242705,-64.283546,153.470978,59.006752,-63.868408,154.659668,-7.479796,-2.714964,73.999031,-4.978792
218,1.816,-38.898766,122.095856,21.217522,-17.475977,95.49794,35.155331,6.606716,76.677155,55.606754,7.514222,81.324089,24.491362,-62.081917,147.803528,27.163141,-33.903034,107.416275,54.799854,-34.086044,114.693245,-7.367487,-64.245583,152.248245,58.99247,-63.854324,153.461563,-7.39009,-2.094264,73.332909,-5.105542
219,1.825,-38.544613,120.969902,21.208282,-16.905785,94.503395,35.139889,7.24162,75.440071,55.578087,8.247984,80.753799,24.538956,-62.046844,146.355484,27.197807,-33.208839,106.472481,54.802734,-33.681698,113.64994,-7.519077,-64.174591,150.872177,58.964123,-63.863564,152.070984,-7.337399,-1.395453,72.56797,-5.250054
220,1.833,-38.224689,119.955063,21.180075,-16.385994,93.661247,35.104568,7.797547,74.323586,55.498398,8.88203,80.20652,24.563431,-61.995667,145.049927,27.207243,-32.570812,105.638168,54.812092,-33.306385,112.736961,-7.636519,-64.128822,149.621811,58.962189,-63.872166,150.852661,-7.291432,-0.740016,71.871529,-5.377061
221,1.841,-37.905807,118.923553,21.160477,-15.898664,92.778122,35.057453,8.323384,73.21196,55.407429,9.530699,79.646996,24.598413,-61.972988,143.74501,27.247477,-31.95645,104.805138,54.808952,-32.926922,111.821518,-7.744972,-64.064835,148.370468,58.93919,-63.90654,149.613541,-7.237881,-0.120525,71.180237,-5.508291
222,1.85,-37.554188,117.759468,21.138634,-15.348471,91.794136,35.032772,8.904143,71.94207,55.282013,10.230066,79.028854,24.600801,-61.924599,142.249008,27.266752,-31.24291,103.859398,54.829468,-32.472363,110.812691,-7.849978,-64.01638,146.945312,58.917175,-63.943474,148.209457,-7.164811,0.622317,70.363327,-5.647399
223,1.858,-37.240833,116.733101,21.120134,-14.842866,90.896461,34.979683,9.392468,70.841751,55.168194,10.853786,78.510277,24.613424,-61.887802,140.939529,27.295324,-30.628494,103.014549,54.813343,-32.03397,109.938225,-7.946195,-63.977272,145.669357,58.91835,-63.938705,146.94519,-7.095446,1.246304,69.674568,-5.797922
224,1.866,-36.925743,115.681923,21.10247,-14.366601,90.022835,34.951748,9.866348,69.718643,55.037819,11.467031,78.012215,24.599665,-61.864929,139.576035,27.319136,-30.034361,102.160408,54.821735,-31.580433,109.088219,-8.039601,-63.906471,144.37326,58.892025,-63.922691,145.668152,-7.059162,1.891525,68.967247,-5.943331
225,1.875,-36.56715,114.495361,21.074142,-13.795943,89.040924,34.911625,10.321407,68.452148,54.847015,12.139799,77.447136,24.525408,-61.814648,138.069885,27.348419,-29.401484,101.18544,54.848629,-31.070148,108.129433,-8.141905,-63.848583,142.916565,58.883007,-63.889797,144.184601,-7.033619,2.608445,68.187416,-6.131446
226,1.883,-36.245529,113.480309,21.0697,-13.295518,88.159599,34.861965,10.685806,67.325539,54.647881,12.729494,76.931419,24.44286,-61.750896,136.703461,27.345648,-28.843906,100.302078,54.873001,-30.596724,107.254959,-8.217864,-63.806313,141.611343,58.874165,-63.842808,142.866821,-6.953874,3.270517,67.458107,-6.286308
227,1.891,-35.933674,112.455406,21.056265,-12.802246,87.244949,34.798008,11.071371,66.217491,54.457386,13.313021,76.394234,24.367887,-61.711628,135.364273,27.368984,-28.294846,99.429604,54.901928,-30.137815,106.37336,-8.303546,-63.762665,140.292175,58.876003,-63.818794,141.519257,-6.904711,3.928965,66.753624,-6.459322
228,1.899,-35.606544,111.415031,21.06575,-12.337587,86.335953,34.770275,11.451717,65.15316,54.26947,13.888407,75.854126,24.315125,-61.64893,133.994156,27.381819,-27.787903,98.5327,54.948402,-29.655912,105.485191,-8.376387,-63.704769,138.965561,58.876862,-63.783192,140.158432,-6.876314,4.606408,66.022339,-6.604625
229,1.908,-35.2561,110.256599,21.060083,-11.815536,85.303291,34.71072,11.834045,64.010757,54.069305,14.577262,75.209106,24.23934,-61.578308,132.473999,27.410046,-27.256405,97.530128,54.995773,-29.133732,104.490746,-8.452856,-63.6647,137.4785,58.877022,-63.716763,138.639847,-6.796693,5.363596,65.204865,-6.763484
230,1.916,-34.948303,109.235703,21.068718,-11.330895,84.412674,34.673119,12.197674,63.00906,53.885704,15.206565,74.591072,24.164871,-61.497051,131.087753,27.418808,-26.816669,96.618477,55.045433,-28.661547,103.608177,-8.524302,-63.607288,136.15654,58.884537,-63.67654,137.261688,-6.755349,6.038689,64.468857,-6.903734
231,1.925,-34.610416,108.08371,21.084814,-10.805373,83.366776,34.62188,12.560694,61.88607,53.678436,15.944441,73.83551,24.088459,-61.409126,129.531128,27.438009,-26.327429,95.576279,55.128979,-28.1441,102.608727,-8.604237,-63.586773,134.656906,58.89373,-63.621773,135.707733,-6.732448,6.787721,63.659782,-7.082543
232,1.933,-34.311207,107.063087,21.117514,-10.319564,82.468582,34.584038,12.876898,60.924351,53.520638,16.654905,73.034111,24.060421,-61.325054,128.129807,27.447489,-25.903967,94.653305,55.178322,-27.690664,101.696838,-8.650891,-63.531025,133.325272,58.88475,-63.533306,134.350052,-6.681197,7.458082,62.937756,-7.232818
233,1.941,-34.00528,106.043648,21.143269,-9.852414,81.537727,34.538044,13.210675,59.99099,53.358849,17.354984,72.116203,24.019117,-61.252956,126.749992,27.476597,-25.528988,93.716393,55.240776,-27.264374,100.766602,-8.688111,-63.510109,131.992035,58.887894,-63.466583,132.965714,-6.653159,8.137081,62.217884,-7.367452
234,1.95,-33.658581,104.90345,21.185547,-9.333014,80.534187,34.47876,13.564986,58.971352,53.214951,18.150925,70.977615,23.981188,-61.141766,125.180962,27.498182,-25.099796,92.675697,55.320541,-26.780186,99.699188,-8.699146,-63.494301,130.487305,58.900249,-63.394211,131.388763,-6.631929,8.885719,61.407417,-7.503517
235,1.958,-33.343361,103.890923,21.212854,-8.855127,79.643021,34.435799,13.879284,58.090752,53.098869,18.760277,69.927963,23.933138,-61.063065,123.777214,27.525362,-24.727398,91.745499,55.349743,-26.370584,98.748955,-8.721649,-63.465603,129.160568,58.900387,-63.30822,130.013855,-6.57024,9.539143,60.702347,-7.634031
236,1.966,-33.015572,102.90155,21.26812,-8.410378,78.76371,34.3974,14.188579,57.212822,52.991104,19.29784,68.828842,23.88516,-60.966713,122.353271,27.55147,-24.381075,90.835854,55.40181,-25.987089,97.76915,-8.74996,-63.444702,127.825867,58.898151,-63.223492,128.61702,-6.53936,10.200054,59.987843,-7.758449
237,1.975,-32.635632,101.779793,21.340721,-7.932483,77.798515,34.354431,14.564724,56.269733,52.901161,19.800272,67.663849,23.788216,-60.865128,120.771255,27.578617,-24.005304,89.817459,55.471825,-25.568121,96.659744,-8.7709,-63.440681,126.340889,58.905441,-63.131428,127.060066,-6.480063,10.947754,59.179543,-7.881315
238,1.983,-32.298485,100.804604,21.406952,-7.49874,76.916969,34.320423,14.923554,55.461739,52.811325,20.208412,66.642845,23.699087,-60.758747,119.343628,27.61414,-23.634565,88.922447,55.493397,-25.221407,95.649162,-8.769907,-63.449615,125.036308,58.908772,-63.055889,125.665367,-6.404389,11.588494,58.469284,-7.970922
239,1.991,-31.94887,99.835083,21.473074,-7.094784,76.05304,34.290741,15.239551,54.636581,52.750523,20.590357,65.63385,23.622042,-60.6688,117.923317,27.668068,-23.312939,88.02478,55.549133,-24.903166,94.644325,-8.752729,-63.461082,123.724327,58.912354,-62.993355,124.284698,-6.328601,12.211075,57.77824,-8.069416
240,2,-31.554703,98.706978,21.523058,-6.63791,75.021904,34.265511,15.606154,53.743118,52.693336,21.035435,64.525749,23.538496,-60.548538,116.292023,27.753792,-22.951014,87.028755,55.61269,-24.551525,93.517174,-8.735414,-63.471706,122.260368,58.919876,-62.934952,122.719917,-6.249336,12.877339,57.000542,-8.182198
241,2.008,-31.211477,97.729301,21.577963,-6.245808,74.106415,34.243435,15.946666,52.964394,52.671314,21.432528,63.540489,23.475283,-60.480247,114.852104,27.839083,-22.62784,86.175972,55.640156,-24.288797,92.520943,-8.701097,-63.486599,120.96785,58.95145,-62.872253,121.355011,-6.126362,13.460053,56.287594,-8.244593
242,2.016,-30.852219,96.730003,21.637569,-5.878211,73.234001,34.234905,16.290335,52.162655,52.643841,21.825155,62.593208,23.42157,-60.426254,113.376427,27.910671,-22.336796,85.291969,55.682785,-24.030508,91.496048,-8.611382,-63.511467,119.680283,58.973503,-62.809734,119.985458,-6.045233,14.013007,55.609184,-8.326106
243,2.024,-30.535749,95.770874,21.70841,-5.537342,72.413811,34.252651,16.614788,51.399784,52.642673,22.231606,61.632492,23.366919,-60.360451,111.911903,27.999914,-22.046112,84.408501,55.719166,-23.799114,90.480461,-8.518478,-63.532917,118.384384,58.970963,-62.75106,118.628517,-5.905339,14.545748,54.934193,-8.396348
244,2.033,-30.192873,94.693092,21.78437,-5.178795,71.57962,34.290848,17.009977,50.521267,52.636211,22.656412,60.589008,23.28442,-60.253036,110.257385,28.101223,-21.718185,83.449242,55.72974,-23.563976,89.342377,-8.446075,-63.57457,116.962578,58.984779,-62.72472,117.127594,-5.751719,15.096633,54.193169,-8.456321
245,2.041,-29.90143,93.769867,21.866508,-4.8417,70.88401,34.317959,17.352781,49.733429,52.646488,23.030243,59.668785,23.226521,-60.173679,108.79158,28.187639,-21.43899,82.59478,55.751385,-23.374249,88.345322,-8.357781,-63.60289,115.696777,59.013577,-62.725258,115.78463,-5.612042,15.571767,53.54269,-8.523067
246,2.049,-29.630661,92.872437,21.968618,-4.514938,70.212288,34.385399,17.676098,48.976685,52.676029,23.396515,58.775032,23.185791,-60.109043,107.323647,28.271923,-21.18453,81.799026,55.783283,-23.192936,87.332664,-8.241896,-63.656616,114.436996,59.044624,-62.700089,114.458336,-5.437946,16.031078,52.885849,-8.583538
247,2.058,-29.331757,91.90168,22.096123,-4.160629,69.498711,34.478867,18.044588,48.115612,52.71616,23.778236,57.778389,23.11701,-60.014458,105.626915,28.389645,-20.864761,80.890747,55.762131,-23.007284,86.204536,-8.110515,-63.708515,113.041283,59.066425,-62.70293,112.977386,-5.251088,16.530973,52.156956,-8.639526
248,2.066,-29.073582,91.067871,22.205282,-3.806802,68.89222,34.558289,18.359337,47.362053,52.756626,24.088087,56.931316,23.088404,-59.967815,104.126907,28.482319,-20.604042,80.128983,55.760281,-22.873924,85.212639,-7.98134,-63.767593,111.806931,59.106548,-62.705265,111.680618,-5.052108,16.934448,51.514183,-8.687695
249,2.075,-28.743023,90.097717,22.341846,-3.399903,68.227074,34.687782,18.698193,46.506229,52.827759,24.409409,55.999599,23.060329,-59.918438,102.464989,28.589386,-20.318453,79.291321,55.751205,-22.756609,84.088219,-7.854967,-63.848251,110.393333,59.125061,-62.711872,110.220573,-4.852776,17.381355,50.79837,-8.749556
250,2.083,-28.460539,89.309654,22.44162,-3.017435,67.647461,34.830261,18.959764,45.770683,52.91531,24.663544,55.180584,23.02743,-59.888996,100.962341,28.694565,-20.055292,78.523491,55.720242,-22.64119,83.080399,-7.714819,-63.906883,109.154556,59.138805,-62.724442,108.952263,-4.671099,17.762911,50.18903,-8.792122
251,2.091,-28.180414,88.51606,22.563076,-2.571603,67.134369,34.936909,19.206306,45.061386,53.026436,24.914417,54.36132,23.035223,-59.858818,99.458488,28.787983,-19.830067,77.805061,55.713463,-22.577711,82.096413,-7.602147,-63.983494,107.907532,59.156334,-62.730343,107.721725,-4.4821,18.144691,49.577206,-8.83991
252,2.1,-27.859243,87.649986,22.715502,-2.0789,66.600677,35.100742,19.447975,44.273323,53.148281,25.178507,53.463573,23.056839,-59.871662,97.785057,28.929365,-19.614578,76.997383,55.727543,-22.518175,80.982468,-7.463083,-64.08033,106.516685,59.181881,-62.756287,106.321655,-4.285581,18.525171,48.91,-8.896919
253,2.108,-27.595257,86.941666,22.816008,-1.648141,66.178772,35.219044,19.605675,43.61562,53.27705,25.412256,52.687393,23.080776,-59.84127,96.287369,28.995388,-19.443842,76.281677,55.753571,-22.473272,79.962631,-7.341116,-64.194099,105.290665,59.175636,-62.781422,105.132362,-4.100441,18.879776,48.317276,-8.908252
254,2.116,-27.349531,86.273697,22.94441,-1.215842,65.778259,35.349457,19.699842,43.015987,53.443481,25.605696,51.918518,23.11084,-59.815331,94.81321,29.061916,-19.264565,75.625946,55.789238,-22.437241,78.956444,-7.206378,-64.318939,104.065025,59.182793,-62.800945,103.940628,-3.914954,19.216394,47.762684,-8.946074
255,2.125,-27.099382,85.523865,23.072056,-0.751931,65.353851,35.532608,19.756077,42.389202,53.620808,25.796825,51.06712,23.185431,-59.836697,93.160271,29.129318,-19.092802,74.925056,55.81749,-22.399677,77.822701,-7.054917,-64.467133,102.714394,59.197868,-62.848576,102.613663,-3.715542,19.58176,47.129578,-8.960774
256,2.133,-26.929192,84.9133,23.196224,-0.339602,65.009079,35.668827,19.730383,41.866653,53.786175,25.931934,50.368153,23.296209,-59.838261,91.710045,29.201406,-18.961191,74.377251,55.871029,-22.404655,76.830254,-6.919278,-64.547043,101.525475,59.169422,-62.912781,101.476463,-3.545581,19.898623,46.56517,-8.991431
257,2.141,-26.796404,84.359627,23.308842,0.04749,64.704102,35.821484,19.654362,41.352081,53.948856,26.01811,49.6511,23.402933,-59.888203,90.253036,29.28446,-18.859365,73.870712,55.937378,-22.430004,75.843346,-6.781269,-64.662735,100.367691,59.15398,-62.968784,100.375793,-3.378444,20.176498,46.03627,-9.056344
258,2.149,-26.67326,83.800354,23.406092,0.427062,64.414093,35.993477,19.54295,40.821171,54.109161,26.068453,48.994328,23.540119,-59.940552,88.853477,29.383125,-18.730066,73.335052,56.021606,-22.453442,74.853401,-6.647836,-64.805634,99.216942,59.157211,-63.029366,99.261681,-3.210319,20.493437,45.498871,-9.098981
259,2.158,-26.597155,83.191811,23.531633,0.822469,64.136772,36.200825,19.363346,40.219093,54.289204,26.051039,48.276279,23.70117,-60.055138,87.310944,29.488039,-18.624195,72.654869,56.132751,-22.514528,73.751877,-6.509693,-64.95752,97.956863,59.159458,-63.106983,98.05249,-3.040861,20.821316,44.950203,-9.13706
260,2.166,-26.579052,82.637047,23.660595,1.11192,63.919525,36.391781,19.167242,39.679699,54.450775,25.998131,47.657722,23.872656,-60.131794,85.964081,29.550861,-18.559645,72.000687,56.247868,-22.573761,72.790947,-6.395609,-65.100784,96.840263,59.165375,-63.187866,97.022316,-2.891445,21.107159,44.488323,-9.194829
261,2.174,-26.58736,82.09375,23.786533,1.370079,63.74762,36.627338,18.910456,39.139519,54.640152,25.859264,47.020237,24.05456,-60.245831,84.636726,29.61965,-18.56399,71.292786,56.360954,-22.628384,71.844376,-6.271935,-65.261642,95.743454,59.169281,-63.266556,96.008522,-2.751644,21.411301,44.043243,-9.268711
262,2.183,-26.62114,81.494675,23.929113,1.642815,63.558441,36.886765,18.60935,38.594841,54.840546,25.665642,46.298279,24.258978,-60.404533,83.249649,29.690725,-18.581741,70.423668,56.455959,-22.720566,70.775375,-6.113249,-65.419785,94.564194,59.153439,-63.370705,94.897499,-2.593723,21.718878,43.635159,-9.337144
263,2.191,-26.681194,80.970467,24.060881,1.845967,63.429375,37.072952,18.26745,38.187691,55.050079,25.484715,45.6423,24.462509,-60.56971,82.009598,29.745991,-18.645741,69.647293,56.502403,-22.790089,69.828842,-5.970345,-65.588364,93.506203,59.145504,-63.476223,93.928078,-2.500596,21.953062,43.313728,-9.338236
264,2.2,-26.764509,80.379372,24.197823,2.083554,63.326782,37.273808,17.882023,37.760849,55.296391,25.225073,44.898838,24.693785,-60.791481,80.676437,29.786655,-18.745504,68.756287,56.505531,-22.926617,68.845451,-5.818249,-65.761551,92.36132,59.115093,-63.593845,92.856827,-2.375285,22.15612,43.088531,-9.322778
265,2.208,-26.863319,79.821091,24.305496,2.26208,63.254093,37.410183,17.496939,37.416309,55.520473,24.937874,44.244064,24.895359,-60.961037,79.546211,29.805761,-18.847715,67.990883,56.499435,-23.003344,67.983383,-5.689747,-65.934891,91.354324,59.084141,-63.69458,91.94632,-2.292811,22.194782,42.939693,-9.236218
266,2.216,-26.987999,79.253159,24.382128,2.40432,63.189919,37.512486,17.110687,37.150219,55.744839,24.620321,43.628231,25.08704,-61.179115,78.421494,29.802174,-18.983358,67.221115,56.467541,-23.087812,67.155579,-5.562424,-66.117958,90.365959,59.058857,-63.806458,91.046776,-2.214319,22.108486,42.911674,-9.127378
267,2.225,-27.166473,78.633408,24.463736,2.521976,63.0881,37.630009,16.653688,36.907948,55.99408,24.226217,42.942078,25.272148,-61.425026,77.223289,29.794069,-19.109076,66.354141,56.415039,-23.196274,66.330109,-5.444643,-66.306458,89.272842,59.023857,-63.934536,90.065262,-2.158944,21.913868,42.89962,-8.949019
268,2.233,-27.385759,78.083115,24.527258,2.585869,63.012325,37.703304,16.228354,36.73225,56.199974,23.810308,42.392395,25.384825,-61.667435,76.203094,29.775057,-19.213326,65.683868,56.406277,-23.246458,65.642693,-5.316959,-66.497429,88.307549,58.998798,-64.062675,89.202919,-2.14485,21.649632,42.828255,-8.729331
269,2.241,-27.629932,77.547501,24.586176,2.585507,62.928223,37.788219,15.810611,36.633606,56.410892,23.357082,41.917439,25.48951,-61.898781,75.240822,29.750824,-19.309084,65.053329,56.423252,-23.291298,65.055992,-5.170463,-66.696281,87.36808,58.969772,-64.210144,88.385704,-2.118092,21.36113,42.677193,-8.496171
270,2.25,-27.928385,76.941063,24.629913,2.549252,62.838573,37.85767,15.34906,36.531895,56.61441,22.786055,41.427525,25.554911,-62.199623,74.169228,29.713015,-19.398615,64.415131,56.474964,-23.321342,64.533615,-5.028114,-66.907211,86.320076,58.93866,-64.369263,87.450867,-2.116925,21.034044,42.359673,-8.2747
271,2.258,-28.231728,76.435005,24.659435,2.511884,62.78801,37.910557,14.922103,36.460678,56.773262,22.260113,41.00103,25.56765,-62.498737,73.217003,29.668119,-19.440708,63.904953,56.572277,-23.307096,64.162514,-4.928637,-67.09137,85.407486,58.904427,-64.506393,86.644783,-2.12622,20.756357,42.011688,-8.138811
272,2.266,-28.579849,75.917458,24.693975,2.46608,62.713737,37.977402,14.521168,36.400723,56.919659,21.747932,40.641689,25.595587,-62.750774,72.331856,29.644293,-19.495712,63.444866,56.684429,-23.324112,63.897717,-4.879605,-67.303345,84.50605,58.872074,-64.658066,85.866089,-2.13339,20.463772,41.601593,-8.053487
273,2.274,-29.003153,75.426888,24.745634,2.399421,62.671345,38.040058,14.104502,36.311577,57.033951,21.175522,40.27338,25.624636,-63.064159,71.454391,29.610643,-19.54283,63.019447,56.814598,-23.314056,63.68586,-4.872704,-67.486229,83.652832,58.852123,-64.83046,85.091095,-2.153599,20.132648,41.186707,-7.941445
274,2.283,-29.514494,74.852631,24.822912,2.326433,62.649406,38.083065,13.629296,36.205772,57.143169,20.478821,39.879818,25.648493,-63.415493,70.501709,29.550182,-19.576385,62.624256,57.003933,-23.317095,63.499523,-4.852146,-67.719711,82.696655,58.838631,-65.026405,84.248161,-2.174823,19.738647,40.728031,-7.797231
275,2.291,-30.01272,74.287704,24.871538,2.212458,62.645203,38.098408,13.236153,36.11158,57.187908,19.826845,39.529171,25.661087,-63.730015,69.705429,29.523808,-19.613232,62.31892,57.163311,-23.335058,63.344646,-4.875867,-67.896309,81.866203,58.817219,-65.202438,83.527794,-2.199162,19.302692,40.282776,-7.663111
276,2.299,-30.518543,73.681381,24.936365,2.106603,62.692539,38.096832,12.806342,36.031898,57.231205,19.092485,39.195808,25.640234,-64.021942,68.873672,29.494152,-19.664639,62.123501,57.309196,-23.344809,63.21265,-4.928542,-68.111107,81.056618,58.785637,-65.393089,82.815155,-2.227115,18.884745,39.87859,-7.546671
277,2.308,-31.070238,72.957512,25.006966,1.978044,62.809723,38.050537,12.359703,35.936863,57.269501,18.214281,38.788696,25.597412,-64.36969,68.05323,29.42091,-19.690075,62.009941,57.438705,-23.361778,63.094913,-5.037374,-68.328598,80.15419,58.767326,-65.611938,82.020622,-2.269169,18.377165,39.440926,-7.380631
278,2.316,-31.591675,72.273705,25.055292,1.847183,62.959587,38.017914,11.938949,35.885948,57.291431,17.417046,38.518547,25.568384,-64.630142,67.330711,29.338486,-19.670843,61.975555,57.512589,-23.374357,63.009083,-5.189711,-68.539703,79.381737,58.761162,-65.84845,81.336678,-2.309969,17.911699,39.095219,-7.24995
279,2.325,-32.128815,71.468826,25.11742,1.686554,63.155144,37.969406,11.499055,35.81057,57.288967,16.437931,38.281994,25.537533,-64.940971,66.519997,29.280489,-19.669128,62.02631,57.565762,-23.396305,62.920254,-5.347137,-68.747787,78.550934,58.72031,-66.132629,80.56517,-2.341706,17.363167,38.742725,-7.119438
280,2.333,-32.574646,70.700104,25.166412,1.587666,63.319027,37.901886,11.093229,35.770908,57.299644,15.592631,38.079609,25.529015,-65.201881,65.882195,29.253269,-19.669273,62.085449,57.616188,-23.425142,62.877113,-5.494337,-68.94574,77.822929,58.681412,-66.353073,79.903381,-2.399337,16.879009,38.470158,-7.00477
281,2.341,-32.8988,69.887253,25.196213,1.508702,63.500412,37.818054,10.695384,35.706539,57.29203,14.69708,37.935707,25.53385,-65.501312,65.245667,29.204168,-19.704433,62.164951,57.664291,-23.459574,62.905514,-5.648193,-69.164017,77.099632,58.650707,-66.575478,79.236916,-2.456104,16.373606,38.207485,-6.931754
282,2.35,-33.211849,69.057014,25.189981,1.404024,63.680725,37.75135,10.257895,35.660858,57.293743,13.728314,37.846703,25.59284,-65.798965,64.559151,29.146503,-19.745096,62.251873,57.728512,-23.496147,62.959854,-5.828126,-69.39476,76.320869,58.61824,-66.830093,78.489128,-2.514888,15.808094,37.957947,-6.877419
283,2.358,-33.35223,68.287857,25.144936,1.308678,63.854485,37.690468,9.885052,35.657078,57.29808,12.761155,37.745617,25.653753,-66.041008,63.98053,29.098669,-19.782532,62.312222,57.798939,-23.526264,63.060581,-5.965225,-69.584694,75.660912,58.603668,-67.092094,77.836388,-2.590666,15.328463,37.81493,-6.796464
284,2.366,-33.492771,67.620689,25.046301,1.189081,64.001976,37.648602,9.533928,35.615372,57.297482,11.899735,37.784061,25.695827,-66.309677,63.410622,29.062647,-19.8258,62.341087,57.869892,-23.566446,63.189972,-6.088042,-69.769211,75.01136,58.594959,-67.36261,77.203072,-2.658285,14.819633,37.677505,-6.747214
285,2.375,-33.62859,66.890198,24.918104,1.022417,64.164558,37.584229,9.129926,35.594761,57.281441,10.950302,37.840355,25.737938,-66.584839,62.843597,29.027542,-19.906755,62.36388,57.950668,-23.628229,63.337292,-6.195463,-69.979156,74.292297,58.588123,-67.634857,76.520317,-2.737865,14.248456,37.54805,-6.69215
286,2.383,-33.730396,66.319275,24.763384,0.893076,64.30938,37.534588,8.815557,35.602055,57.294052,10.075815,37.953487,25.757738,-66.813004,62.406342,28.968113,-19.99649,62.379234,58.029335,-23.734148,63.493111,-6.270569,-70.168884,73.683426,58.572887,-67.878059,75.921257,-2.815142,13.74282,37.458542,-6.621225
287,2.391,-33.838516,65.814903,24.57626,0.690856,64.489784,37.472813,8.485302,35.617836,57.305782,9.296915,38.066162,25.814882,-67.010857,62.040024,28.902822,-20.102198,62.397575,58.115715,-23.825167,63.607971,-6.326442,-70.33844,73.077667,58.579052,-68.116219,75.327843,-2.923635,13.209842,37.417866,-6.569729
288,2.399,-33.967644,65.346184,24.360653,0.521741,64.628914,37.421173,8.211142,35.611111,57.302826,8.564216,38.199718,25.877615,-67.129059,61.848087,28.871239,-20.197241,62.352253,58.205433,-23.919027,63.694782,-6.352904,-70.505157,72.49958,58.623634,-68.383339,74.740471,-3.070099,12.679836,37.377979,-6.517755
