,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
38,0.316,-116.462311,99.866737,25.438335,-118.909668,65.418205,38.452667,-120.857666,34.132015,58.396305,-119.722771,35.610138,26.380741,-114.836227,135.117355,31.30731,-117.064667,85.618843,59.922535,-120.833733,91.005875,-2.189289,-114.32798,140.045944,64.133514,-116.455475,139.034851,-4.41532,-122.08271,38.925777,-6.641404
39,0.325,-116.465309,99.831734,25.45776,-118.909142,65.390228,38.448547,-120.842102,34.087532,58.38496,-119.737518,35.584961,26.371502,-114.815605,135.086334,31.314198,-117.067467,85.572029,59.914272,-120.854797,90.988968,-2.185293,-114.282021,139.98111,64.147186,-116.395676,138.9953,-4.41216,-122.154427,38.913773,-6.644475
40,0.333,-116.463699,99.808655,25.464046,-118.904984,65.367455,38.44849,-120.828339,34.058014,58.375633,-119.751381,35.562119,26.361237,-114.798927,135.056732,31.318878,-117.067291,85.537125,59.915024,-120.869804,90.98069,-2.182723,-114.213608,139.93631,64.143318,-116.352966,138.968033,-4.405328,-122.209724,38.901989,-6.651906
41,0.341,-116.463699,99.784233,25.466946,-118.898308,65.344513,38.448082,-120.815048,34.025757,58.364479,-119.764008,35.538338,26.34672,-114.78093,135.023087,31.313335,-117.082367,85.491638,59.918915,-120.907578,90.967323,-2.162914,-114.156212,139.898697,64.146797,-116.309189,138.937729,-4.392849,-122.261879,38.895866,-6.661613
42,0.35,-116.459549,99.749115,25.467068,-118.887413,65.319168,38.445457,-120.784164,33.995934,58.347416,-119.777908,35.511391,26.330433,-114.747032,134.980347,31.310902,-117.093292,85.44883,59.925972,-120.939682,90.946686,-2.135878,-114.096848,139.860992,64.155968,-116.250076,138.89946,-4.387149,-122.356735,38.875481,-6.659942
43,0.358,-116.457008,99.722908,25.464218,-118.871132,65.265633,38.437183,-120.757614,33.960468,58.330219,-119.79306,35.495941,26.31706,-114.684906,134.941635,31.30633,-117.096855,85.419777,59.925632,-120.956078,90.940491,-2.1268,-113.996269,139.822739,64.1633,-116.166733,138.874649,-4.384033,-122.413025,38.867893,-6.665534
44,0.366,-116.454086,99.70208,25.461039,-118.858803,65.242722,38.429703,-120.731613,33.921101,58.308781,-119.80423,35.479179,26.302975,-114.632774,134.907944,31.307549,-117.097557,85.392754,59.923733,-120.966782,90.936348,-2.115604,-113.903061,139.791412,64.159256,-116.085472,138.850159,-4.378997,-122.457214,38.872978,-6.679216
45,0.375,-116.447495,99.672989,25.457291,-118.848526,65.224434,38.423042,-120.697655,33.877529,58.280037,-119.815231,35.459713,26.286259,-114.578606,134.870728,31.318012,-117.094971,85.364311,59.919762,-120.980904,90.936127,-2.106085,-113.784584,139.76001,64.158302,-115.990952,138.827118,-4.376888,-122.502602,38.876431,-6.695146
46,0.383,-116.445984,99.646011,25.44002,-118.838074,65.208008,38.41394,-120.660851,33.858875,58.257858,-119.825432,35.445225,26.267887,-114.509369,134.84375,31.323397,-117.094894,85.340202,59.913097,-120.985886,90.941566,-2.101496,-113.655159,139.731522,64.148674,-115.873848,138.812439,-4.374296,-122.543404,38.90588,-6.707116
47,0.391,-116.444481,99.633423,25.42588,-118.827377,65.197533,38.403435,-120.629883,33.848698,58.24324,-119.836166,35.43499,26.249323,-114.414001,134.82048,31.313948,-117.091408,85.328033,59.904854,-120.988121,90.945312,-2.095365,-113.497055,139.710693,64.153419,-115.757111,138.787872,-4.35895,-122.600807,38.903385,-6.707547
48,0.4,-116.437767,99.631348,25.415813,-118.817116,65.189758,38.391869,-120.594231,33.848156,58.226276,-119.845459,35.42979,26.231543,-114.305962,134.800903,31.302891,-117.081467,85.319702,59.903049,-120.98761,90.958176,-2.09028,-113.319435,139.681976,64.141098,-115.592941,138.772781,-4.352504,-122.672081,38.89996,-6.703275
49,0.408,-116.417549,99.632553,25.412851,-118.806984,65.189018,38.374931,-120.561218,33.854561,58.213585,-119.852997,35.424595,26.209105,-114.185837,134.787125,31.282747,-117.063156,85.323868,59.894882,-120.981529,90.971596,-2.08695,-113.150764,139.664474,64.1175,-115.448845,138.745255,-4.362589,-122.712196,38.91626,-6.710594
50,0.416,-116.416061,99.642326,25.407564,-118.79789,65.200943,38.364208,-120.49559,33.881168,58.201057,-119.857147,35.428295,26.191795,-114.045883,134.776749,31.268221,-117.029442,85.32782,59.866203,-120.989105,90.98896,-2.067734,-112.966583,139.66568,64.095161,-115.273773,138.725967,-4.383293,-122.737122,38.941376,-6.723839
51,0.425,-116.347885,99.676628,25.397757,-118.77681,65.226562,38.353176,-120.441017,33.907082,58.18848,-119.859566,35.452328,26.190165,-113.887321,134.763168,31.250671,-116.98645,85.351524,59.848064,-120.986053,91.007378,-2.04863,-112.708115,139.688721,64.046112,-115.057739,138.707779,-4.408803,-122.76062,38.975597,-6.740396
52,0.433,-116.269096,99.729919,25.365025,-118.767548,65.259399,38.350124,-120.397064,33.936916,58.17725,-119.857002,35.481228,26.194593,-113.711166,134.766144,31.222477,-116.923439,85.386581,59.822262,-120.966171,91.029594,-2.046214,-112.443314,139.700684,64.01519,-114.848564,138.697678,-4.430145,-122.788155,39.006081,-6.741414
53,0.441,-116.247604,99.778046,25.355515,-118.755569,65.296379,38.352722,-120.35321,33.976276,58.174145,-119.853661,35.512768,26.196026,-113.515594,134.769852,31.192991,-116.851532,85.422096,59.808422,-120.925652,91.064484,-2.041978,-112.186501,139.724945,63.961197,-114.620651,138.697739,-4.431621,-122.810654,39.04071,-6.74169
54,0.45,-116.243828,99.825356,25.350744,-118.751099,65.345757,38.351475,-120.306953,34.029026,58.172512,-119.85154,35.56023,26.195347,-113.271561,134.781876,31.138458,-116.773537,85.461319,59.790707,-120.856476,91.104797,-2.068874,-111.861847,139.755005,63.895935,-114.355209,138.697571,-4.450441,-122.845161,39.080727,-6.739958
55,0.458,-116.247467,99.885841,25.336498,-118.756081,65.414055,38.340755,-120.267067,34.090157,58.178658,-119.849548,35.607304,26.199245,-113.037704,134.804398,31.085119,-116.699394,85.500938,59.773766,-120.800018,91.140717,-2.070661,-111.64917,139.76532,63.879086,-114.104691,138.704346,-4.475231,-122.895172,39.129959,-6.736945
56,0.466,-116.252342,99.94371,25.319672,-118.759026,65.466873,38.327564,-120.206642,34.163311,58.17247,-119.847168,35.655556,26.200993,-112.791016,134.820404,31.033134,-116.608963,85.55085,59.763367,-120.728394,91.186073,-2.074217,-111.432793,139.794281,63.863338,-113.821686,138.713593,-4.516441,-122.924759,39.157654,-6.720428
57,0.475,-116.254486,100.009392,25.301886,-118.756523,65.535477,38.325603,-120.151329,34.237236,58.174179,-119.870018,35.728779,26.196209,-112.493881,134.848511,30.963724,-116.474319,85.608139,59.756393,-120.660782,91.227798,-2.08899,-111.101677,139.841278,63.807339,-113.494789,138.708038,-4.566717,-122.954086,39.205158,-6.702948
