Format Version,1.23,Take Name,Take 2024-01-20 09.04.49 AM,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2024-01-20 09.04.50.264 上午,Capture Start Frame,238119,Total Frames in Take,303,Total Exported Frames,303,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.2,-0.144706,-0.434794,0.027355,0.888407,-54.781132,84.586922,26.148848,-64.693382,84.375877,19.66819,-44.851173,84.561241,32.585957,-61.294163,84.736649,36.097958,-48.285797,84.67392,16.243279,-64.706108,84.386726,19.688902,-44.850677,84.571884,32.591038,-61.30526,84.722763,36.087196,-48.250912,84.656456,16.214699,-17.097374,108.750175,23.102205,-20.287838,108.441124,22.319378,-19.404551,108.721436,27.235788,-21.62113,108.14576,25.724447,-26.716148,88.126579,24.726547,-15.327683,88.728539,19.635099,-23.815792,88.397194,29.292955,-10.077892,89.58165,23.019865
25,0.208,-0.144702,-0.434787,0.027312,0.888412,-54.781139,84.58699,26.148737,-64.693428,84.376991,19.668114,-44.851154,84.560257,32.585804,-61.294113,84.736763,36.097885,-48.285843,84.673927,16.243147,-64.706734,84.387901,19.689468,-44.850464,84.570915,32.59148,-61.305046,84.722954,36.086243,-48.250549,84.656502,16.21393,-17.086477,108.753777,23.11072,-20.275167,108.447357,22.32531,-19.39732,108.712433,27.246561,-21.610819,108.142067,25.732002,-26.707283,88.113014,24.638561,-15.313423,88.738747,19.587065,-23.841181,88.385239,29.243568,-10.071473,89.580162,22.989494
26,0.216,-0.144705,-0.434791,0.027362,0.888408,-54.780533,84.587067,26.148653,-64.692818,84.37587,19.668072,-44.850521,84.561531,32.58569,-61.293488,84.736748,36.097813,-48.285271,84.674103,16.243038,-64.70591,84.386765,19.689068,-44.850929,84.572227,32.590385,-61.304073,84.722778,36.087193,-48.247917,84.656067,16.213545,-17.0758,108.750832,23.121122,-20.264267,108.448326,22.334736,-19.391098,108.696342,27.260601,-21.601233,108.13353,25.74205,-26.691612,88.100861,24.569675,-15.303685,88.744965,19.542446,-23.864376,88.368568,29.192329,-10.061153,89.581314,22.961006
27,0.225,-0.144699,-0.434817,0.027363,0.888396,-54.780579,84.587906,26.148775,-64.692513,84.376602,19.667645,-44.850929,84.562477,32.586361,-61.29409,84.737411,36.097572,-48.284771,84.675117,16.243521,-64.705208,84.38736,19.688339,-44.850914,84.573051,32.590965,-61.305088,84.723541,36.087082,-48.248859,84.657562,16.214899,-17.058321,108.744179,23.131027,-20.243982,108.444702,22.343115,-19.383953,108.668221,27.28458,-21.589226,108.118309,25.755056,-26.656004,88.078659,24.499542,-15.290992,88.747139,19.492334,-23.876984,88.343918,29.128614,-10.053499,89.572777,22.922607
28,0.233,-0.144681,-0.434804,0.027329,0.888406,-54.780411,84.587738,26.149441,-64.692497,84.377327,19.668516,-44.850616,84.561417,32.586803,-61.293697,84.736938,36.098396,-48.284821,84.675247,16.244043,-64.704536,84.387985,19.689297,-44.850372,84.571877,32.592636,-61.304665,84.723251,36.087681,-48.250259,84.657806,16.213478,-17.046978,108.727737,23.15443,-20.231083,108.434761,22.354767,-19.371958,108.639336,27.306545,-21.577265,108.098412,25.769543,-26.642233,88.058487,24.434151,-15.276797,88.748726,19.44203,-23.845425,88.276703,29.028215,-10.009929,89.522385,22.823772
29,0.241,-0.144468,-0.434772,0.027375,0.888455,-54.780621,84.590485,26.145836,-64.693459,84.379822,19.666077,-44.850014,84.56443,32.581951,-61.292694,84.73452,36.095654,-48.286289,84.683144,16.23966,-64.704849,84.388504,19.687845,-44.850075,84.572891,32.59259,-61.303978,84.723709,36.086716,-48.25045,84.668808,16.196299,-17.032118,108.706963,23.176542,-20.216516,108.418358,22.370295,-19.358318,108.607986,27.323925,-21.564583,108.07605,25.783718,-26.646923,88.05069,24.370005,-15.264924,88.745132,19.387962,-23.843475,88.263382,28.951757,-10.002876,89.501122,22.784645
30,0.25,-0.144655,-0.43479,0.027314,0.888418,-54.779877,84.587547,26.149029,-64.692169,84.37764,19.668415,-44.849873,84.560722,32.586067,-61.292831,84.736191,36.098206,-48.284607,84.675606,16.243427,-64.705696,84.387817,19.689877,-44.849976,84.570679,32.592255,-61.303276,84.72345,36.087524,-48.247398,84.659058,16.211514,-17.014961,108.667709,23.216318,-20.197641,108.395599,22.392378,-19.341549,108.572876,27.343386,-21.548138,108.043968,25.80348,-26.685259,88.042107,24.287033,-15.252397,88.742889,19.326637,-23.847395,88.230652,28.891123,-9.991383,89.476471,22.743378
31,0.258,-0.14472,-0.434804,0.027309,0.888401,-54.780231,84.587677,26.149052,-64.692245,84.377625,19.668011,-44.850525,84.560989,32.586548,-61.293636,84.737862,36.097916,-48.284508,84.674202,16.243738,-64.704903,84.388092,19.689232,-44.849964,84.571243,32.592278,-61.304832,84.724434,36.086472,-48.249702,84.657402,16.214001,-17.003464,108.641777,23.239204,-20.173063,108.37059,22.413118,-19.325083,108.539513,27.363253,-21.531574,108.010735,25.822241,-26.718811,88.03289,24.233112,-15.246625,88.73262,19.275661,-23.849222,88.201157,28.841919,-9.96312,89.452728,22.715702
32,0.266,-0.144675,-0.434818,0.02733,0.888401,-54.780518,84.587967,26.148724,-64.692413,84.377518,19.667509,-44.850914,84.561691,32.586376,-61.29409,84.737007,36.097492,-48.284641,84.675636,16.243519,-64.704903,84.388313,19.688345,-44.850792,84.572289,32.591595,-61.304916,84.723129,36.08654,-48.249474,84.658035,16.214285,-16.984369,108.614876,23.25749,-20.143867,108.332611,22.439871,-19.30406,108.490112,27.394604,-21.503908,107.958626,25.842827,-26.738062,88.012726,24.192493,-15.23998,88.715408,19.232449,-23.860893,88.151276,28.785503,-9.9849,89.402184,22.662737
33,0.275,-0.144668,-0.434803,0.027337,0.888409,-54.781258,84.587898,26.148304,-64.693382,84.377357,19.667454,-44.851414,84.561707,32.58559,-61.294468,84.736771,36.097313,-48.285748,84.675728,16.242863,-64.706131,84.387558,19.688686,-44.850685,84.571671,32.592159,-61.305237,84.723946,36.085884,-48.251801,84.659607,16.21244,-16.949661,108.599243,23.246025,-20.106497,108.300224,22.490948,-19.281553,108.421158,27.43327,-21.478909,107.900826,25.86989,-26.76354,87.990616,24.153425,-15.273799,88.714241,19.140553,-23.871017,88.095116,28.721395,-9.982853,89.392403,22.614939
