,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1111,Unlabeled 1111,Unlabeled 1111,Unlabeled 1112,Unlabeled 1112,Unlabeled 1112,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1117,Unlabeled 1117,Unlabeled 1117,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118
,ID,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D4E356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D53356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D55356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D56356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5A356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5C356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D5D356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE,D60356BA9B1B72B11EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
48,0.4,-32.013775,102.728867,11.89283,-34.84758,122.740509,16.144444,-35.442707,122.429428,19.400576,-31.866804,123.220993,16.684013,-27.176813,102.654282,16.684771,-31.830093,122.217499,20.269732,-32.817715,102.150299,22.544432,-36.168854,102.328285,20.35095
49,0.408,-32.030209,102.703621,11.878641,-34.878174,122.708084,16.172972,-35.445053,122.394051,19.430416,-31.887943,123.19149,16.686796,-27.248859,102.608322,16.638029,-31.820112,122.185806,20.274553,-32.822884,102.108673,22.535877,-36.17416,102.29261,20.327578
50,0.416,-32.048683,102.683174,11.861156,-34.901703,122.671822,16.211742,-35.445507,122.357895,19.467859,-31.908173,123.162163,16.686743,-27.269503,102.539551,16.589228,-31.811083,122.151993,20.280664,-32.823536,102.071991,22.523668,-36.1763,102.248192,20.304085
51,0.425,-32.0905,102.651741,11.834664,-34.924732,122.619179,16.272539,-35.444084,122.299484,19.524122,-31.940321,123.123459,16.679047,-27.284809,102.493332,16.549622,-31.795105,122.112617,20.285982,-32.829586,102.027428,22.511112,-36.169037,102.184906,20.271088
52,0.433,-32.140411,102.618645,11.817399,-34.947418,122.582664,16.320663,-35.436821,122.258186,19.562868,-31.960783,123.087158,16.685274,-27.28746,102.469948,16.505035,-31.766977,122.053398,20.285728,-32.837521,101.981331,22.496662,-36.171158,102.14093,20.252701
53,0.441,-32.16563,102.588692,11.78842,-34.986012,122.551773,16.372042,-35.426098,122.208832,19.609623,-31.989992,123.049423,16.704121,-27.272234,102.446732,16.45466,-31.746572,122.006058,20.280312,-32.84586,101.935326,22.486759,-36.162968,102.091621,20.238096
54,0.45,-32.199539,102.567719,11.762147,-35.016026,122.495079,16.445257,-35.412193,122.14444,19.68721,-32.033375,122.987457,16.739046,-27.282419,102.414413,16.410463,-31.731024,121.954048,20.290146,-32.834579,101.856056,22.463512,-36.172363,102.032112,20.229267
55,0.458,-32.234398,102.558708,11.731719,-35.047077,122.434303,16.531498,-35.412834,122.096573,19.754528,-32.064728,122.94799,16.771595,-27.309042,102.382294,16.367527,-31.714996,121.915611,20.308775,-32.829605,101.802361,22.452497,-36.177883,101.979897,20.227858
56,0.466,-32.274097,102.546898,11.70257,-35.102261,122.395874,16.60453,-35.412605,122.028801,19.846317,-32.096378,122.907654,16.809706,-27.339169,102.342819,16.315308,-31.698439,121.868881,20.345636,-32.825409,101.746773,22.443083,-36.183807,101.92627,20.225037
57,0.475,-32.349483,102.523819,11.64883,-35.148193,122.325348,16.697245,-35.41441,121.963631,19.936342,-32.153946,122.834206,16.864077,-27.407122,102.269424,16.244047,-31.683012,121.816338,20.382168,-32.812763,101.687431,22.436977,-36.183491,101.854233,20.218813
58,0.483,-32.410896,102.472946,11.613493,-35.188683,122.251823,16.782238,-35.407642,121.892128,20.013474,-32.197807,122.778229,16.896538,-27.456984,102.192917,16.17462,-31.671534,121.736908,20.408875,-32.786491,101.589378,22.430511,-36.180538,101.771637,20.220024
59,0.491,-32.468437,102.414299,11.573003,-35.240402,122.163078,16.86212,-35.417259,121.799278,20.084248,-32.251797,122.708282,16.907124,-27.481747,102.128006,16.123959,-31.66605,121.655106,20.42215,-32.754837,101.487061,22.42733,-36.180347,101.677238,20.241396
60,0.5,-32.553463,102.339424,11.525271,-35.284729,122.070023,16.917576,-35.333832,121.638855,20.075087,-32.286858,122.626892,16.902225,-27.493584,102.054802,16.070593,-31.664097,121.556404,20.431496,-32.719261,101.391724,22.439728,-36.181248,101.570869,20.274618
61,0.508,-32.635189,102.23011,11.484413,-35.323639,121.941696,16.976049,-35.379574,121.542862,20.155203,-32.34866,122.503349,16.919653,-27.485954,101.949326,16.012182,-31.668884,121.44265,20.432117,-32.709938,101.288437,22.49729,-36.18047,101.456429,20.30938
62,0.516,-32.754368,102.129341,11.45627,-35.349403,121.815109,16.996475,-35.413963,121.453621,20.226171,-32.351089,122.387886,16.918663,-27.470243,101.827713,15.930088,-31.66753,121.300713,20.429255,-32.666145,101.15004,22.52471,-36.170658,101.324287,20.372458
63,0.525,-32.877308,101.9804,11.426943,-35.368614,121.659126,17.02282,-35.445831,121.295654,20.28524,-32.39275,122.227005,16.886145,-27.474155,101.699402,15.871162,-31.666443,121.157715,20.415842,-32.62225,101.009117,22.583149,-36.146061,101.157486,20.441671
64,0.533,-33.005821,101.801559,11.419737,-35.396313,121.492348,17.028515,-35.328564,121.09613,20.216993,-32.415554,122.061035,16.856356,-27.502632,101.515999,15.813552,-31.645525,120.987831,20.393337,-32.580513,100.862106,22.623096,-36.12426,101.003334,20.527805
65,0.541,-33.115116,101.6119,11.425371,-35.418182,121.327499,17.031939,-35.34552,120.94474,20.221502,-32.438011,121.896027,16.817461,-27.537447,101.354958,15.767961,-31.629688,120.845627,20.356842,-32.488533,100.681137,22.672138,-36.108269,100.840294,20.640821
66,0.55,-33.253803,101.390221,11.439147,-35.414009,121.10051,16.995707,-35.304726,120.745377,20.189829,-32.444157,121.676743,16.755089,-27.580256,101.163803,15.721231,-31.615894,120.631363,20.282099,-32.39835,100.463699,22.729218,-36.080761,100.643906,20.774137
