,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071
,ID,4FFCED923C6E4311EE,4FFCED923C6E4311EE,4FFCED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51ACED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,51CCED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,529CED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,52DCED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,532CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,535CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,536CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,538CED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE,53ACED923C6E4311EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,0.258,44.542248,970.507324,97.25209,53.406864,1270.851562,114.914673,65.586716,1052.786865,87.058861,-107.958984,1150.898193,80.374252,206.266586,1141.502319,140.291229,-103.841682,1302.637451,72.629097,204.891144,1288.003906,141.922394,-112.545807,993.294983,96.538788,27.155466,1184.929565,105.476189,197.810684,978.580261,149.790314
32,0.266,44.416687,969.622742,97.748917,53.560062,1269.761475,113.724998,65.616486,1052.009766,87.407692,-107.97229,1150.183838,80.230537,206.248215,1140.712646,140.037079,-103.60788,1301.918579,71.518829,204.801437,1287.277344,141.007889,-112.779503,992.699951,97.145546,27.119289,1184.054565,105.080452,197.52919,977.682495,151.201965
33,0.275,44.090282,968.539734,98.479256,53.695953,1268.697632,112.378654,65.51049,1051.075195,87.452568,-107.876427,1149.33374,79.961029,206.246292,1139.737427,139.79686,-103.070885,1301.085083,70.199852,204.925919,1286.367432,140.027283,-113.029129,992.05896,97.774117,27.240555,1183.203125,104.623001,196.751221,976.782898,152.611099
34,0.283,43.516445,967.595093,99.263702,53.945339,1267.763794,110.911751,65.243584,1049.692017,88.109009,-107.786705,1148.661133,79.701691,206.253281,1138.861816,139.704636,-102.822357,1300.427124,69.013428,205.022308,1285.677612,139.302887,-113.454353,991.54248,98.300629,27.307421,1182.300171,104.26651,196.377914,976.196716,154.068756
35,0.291,43.076435,966.945496,100.065063,54.20269,1266.950317,109.427254,64.721771,1048.662598,88.637054,-107.752365,1148.176636,79.598106,206.259048,1138.115356,139.566559,-102.593918,1299.91272,67.673187,205.325577,1284.889893,138.363464,-113.832359,991.000854,98.681168,27.320143,1181.596191,103.927216,195.543411,975.572876,155.599121
36,0.3,42.753819,966.217468,100.998222,54.580494,1266.040283,107.915985,64.461502,1047.950806,88.975693,-107.834404,1147.811279,79.486961,206.166656,1137.323486,139.359818,-102.378799,1299.547729,66.058853,205.960541,1284.111572,137.300171,-114.27877,990.725159,99.004982,27.362747,1181.071533,103.505737,194.964706,975.058228,157.238281
37,0.308,42.173634,965.780212,102.006355,54.849915,1265.569702,106.445488,64.320969,1047.45752,89.239159,-107.89872,1147.65564,79.37352,206.103287,1136.719238,138.957291,-102.16748,1299.317505,64.470245,206.290634,1283.661987,135.997253,-114.751724,990.678284,99.210854,27.399712,1180.733521,102.996269,194.094223,974.502808,158.689316
38,0.316,41.700939,965.572876,102.965858,55.170162,1265.536011,104.942635,64.203957,1047.068726,89.410728,-107.989952,1147.664307,79.186623,206.138611,1136.263672,138.721619,-101.572334,1299.296509,62.737083,206.678864,1283.414307,134.708496,-115.270905,990.93512,99.383133,27.336773,1180.483643,102.57164,193.440689,974.416016,160.111053
39,0.325,41.19096,965.575928,104.07119,55.592468,1265.90271,103.446907,64.16375,1046.852051,89.516762,-108.053986,1147.936157,78.829918,206.132141,1135.95752,138.439667,-101.090302,1299.370728,60.542011,207.503311,1283.19104,133.073669,-115.887375,991.323608,99.464256,27.207714,1180.417725,102.074577,192.749283,974.373596,161.896378
40,0.333,40.418259,965.91626,105.43766,56.163673,1266.464478,102.067383,64.256218,1046.978271,89.469849,-108.046631,1148.421875,78.350327,206.121933,1135.930298,138.198746,-100.593216,1299.832642,58.334702,208.147537,1283.329834,131.366241,-116.335976,991.947327,99.370277,27.124781,1180.654785,101.560669,191.842514,974.700134,163.177582
41,0.341,39.782246,966.427185,106.749542,56.603981,1267.507446,100.335602,64.094795,1047.294434,89.801575,-107.956558,1149.191772,77.591003,206.158981,1136.131348,137.921234,-99.892761,1300.605957,55.93845,208.983719,1283.784546,129.613708,-116.655014,992.823975,99.233856,27.066774,1181.110718,100.887863,191.379517,975.464783,164.687012
42,0.35,39.324051,967.403259,108.184914,57.313354,1269.029053,98.410042,63.837402,1048.232056,90.438339,-107.647469,1150.36377,76.583984,206.246414,1136.670166,137.503525,-99.40036,1301.786865,52.94574,209.76236,1284.588623,127.232971,-116.860329,994.477356,98.970833,27.122536,1181.82251,100.076317,190.430801,976.508484,166.532547
43,0.358,38.954754,968.7099,109.619667,57.952995,1270.648193,96.846909,63.266277,1049.465088,91.146851,-107.438873,1152.058594,75.555801,206.255707,1137.63208,136.738327,-98.55262,1303.255859,50.034389,210.595459,1285.591675,125.258652,-117.162178,996.124146,98.761703,27.050907,1182.985107,98.813652,189.80957,977.947021,167.821381
